Accounting,Bachelor of Commerce,Specialist
Actuarial Science,Honours Bachelor of Science,"Specialist, Major"
African Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
American Studies,Honours Bachelor of Arts,"Minor, Major"
Animal Physiology,Honours Bachelor of Science,Major
Anthropology,Honours Bachelor of Arts | Honours Bachelor of Science,"Specialist, Minor, Major"
Anthropology,Honours Bachelor of Science | Honours Bachelor of Arts,"Specialist, Minor, Major"
Anthropology,Honours Bachelor of Science | Honours Bachelor of Arts,"Specialist, Minor, Major"
Applied Mathematics,Honours Bachelor of Science,Specialist
Applied Statistics,Honours Bachelor of Science,"Specialist, Minor, Major"
Applied Statistics,Honours Bachelor of Science,Specialist
Archaeology,Honours Bachelor of Arts,Specialist
Architectural Studies,Honours Bachelor of Arts,Major
Art and Art History (joint program with Sheridan College),Honours Bachelor of Arts,"Specialist, Major"
Art History,Honours Bachelor of Arts,"Specialist, Minor, Major"
Art History and Visual Culture,Honours Bachelor of Arts,"Minor, Major"
Arts Management,Honours Bachelor of Arts,Specialist
Astronomical Sciences,Honours Bachelor of Science,Specialist
Astronomy,Honours Bachelor of Science,Major
Astronomy and Astrophysics,Honours Bachelor of Science,"Minor, Major"
Astronomy and Physics,Honours Bachelor of Science,Specialist
"Behaviour, Genetics and Neurobiology",Honours Bachelor of Science,Specialist
Biochemistry,Honours Bachelor of Science,"Specialist, Major"
Biochemistry,Honours Bachelor of Science,Major
Biodiversity and Conservation Biology,Honours Bachelor of Science,Major
Bioethics,Honours Bachelor of Arts,"Specialist, Minor, Major"
Bioinformatics,Honours Bachelor of Science,Specialist
Bioinformatics and Computational Biology,Honours Bachelor of Science,Specialist
Biological Chemistry,Honours Bachelor of Science,Specialist
Biological Chemistry,Honours Bachelor of Science,Specialist
Biological Chemistry,Honours Bachelor of Science,Specialist
Biological Physics,Honours Bachelor of Science,Specialist
Biology,Honours Bachelor of Science,"Minor, Major"
Biology,Honours Bachelor of Science,"Specialist, Minor, Major"
Biology,Honours Bachelor of Science,"Specialist, Minor, Major"
Biology for Health Sciences,Honours Bachelor of Science,Major
Biomedical Physics,Honours Bachelor of Science,Specialist
Biomedical Toxicology,Honours Bachelor of Science,"Specialist, Major"
Biotechnology,Honours Bachelor of Science,Specialist
Book and Media Studies,Honours Bachelor of Arts,"Minor, Major"
Buddhist Studies,Honours Bachelor of Arts,"Specialist, Major"
Canadian Studies,Honours Bachelor of Arts,"Minor, Major"
Canadian Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Caribbean Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Cell and Molecular Biology,Honours Bachelor of Science,"Specialist, Major"
Celtic Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Chemical Engineering,Bachelor of Applied Science in Engineering Science | Bachelor of Applied Science,"Program, Minor"
Chemical Physics,Honours Bachelor of Science,Specialist
Chemistry,Honours Bachelor of Science,"Specialist, Major"
Chemistry,Honours Bachelor of Science,"Specialist, Minor, Major"
Chemistry,Honours Bachelor of Science,"Specialist, Minor, Major"
Christianity and Culture,Honours Bachelor of Arts,"Specialist, Minor, Major"
Cinema Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
City Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Civil Engineering,Bachelor of Applied Science,Program
Classical Civilization,Honours Bachelor of Arts,"Minor, Major"
Classical Civilization,Honours Bachelor of Arts,"Minor, Major"
Classics (Greek and Latin),Honours Bachelor of Arts,Major
Cognitive Science (Arts),Honours Bachelor of Arts,Major
Cognitive Science (Science),Honours Bachelor of Science,Major
Accounting,Bachelor of Commerce,Specialist
Actuarial Science,Honours Bachelor of Science,"Specialist, Major"
African Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
American Studies,Honours Bachelor of Arts,"Minor, Major"
Animal Physiology,Honours Bachelor of Science,Major
Anthropology,Honours Bachelor of Arts | Honours Bachelor of Science,"Specialist, Minor, Major"
Anthropology,Honours Bachelor of Science | Honours Bachelor of Arts,"Specialist, Minor, Major"
Anthropology,Honours Bachelor of Science | Honours Bachelor of Arts,"Specialist, Minor, Major"
Applied Mathematics,Honours Bachelor of Science,Specialist
Applied Statistics,Honours Bachelor of Science,"Specialist, Minor, Major"
Applied Statistics,Honours Bachelor of Science,Specialist
Archaeology,Honours Bachelor of Arts,Specialist
Architectural Studies,Honours Bachelor of Arts,Major
Art and Art History (joint program with Sheridan College),Honours Bachelor of Arts,"Specialist, Major"
Art History,Honours Bachelor of Arts,"Specialist, Minor, Major"
Art History and Visual Culture,Honours Bachelor of Arts,"Minor, Major"
Arts Management,Honours Bachelor of Arts,Specialist
Astronomical Sciences,Honours Bachelor of Science,Specialist
Astronomy,Honours Bachelor of Science,Major
Astronomy and Astrophysics,Honours Bachelor of Science,"Minor, Major"
Astronomy and Physics,Honours Bachelor of Science,Specialist
"Behaviour, Genetics and Neurobiology",Honours Bachelor of Science,Specialist
Biochemistry,Honours Bachelor of Science,"Specialist, Major"
Biochemistry,Honours Bachelor of Science,Major
Biodiversity and Conservation Biology,Honours Bachelor of Science,Major
Bioethics,Honours Bachelor of Arts,"Specialist, Minor, Major"
Bioinformatics,Honours Bachelor of Science,Specialist
Bioinformatics and Computational Biology,Honours Bachelor of Science,Specialist
Biological Chemistry,Honours Bachelor of Science,Specialist
Biological Chemistry,Honours Bachelor of Science,Specialist
Biological Chemistry,Honours Bachelor of Science,Specialist
Biological Physics,Honours Bachelor of Science,Specialist
Biology,Honours Bachelor of Science,"Minor, Major"
Biology,Honours Bachelor of Science,"Specialist, Minor, Major"
Biology,Honours Bachelor of Science,"Specialist, Minor, Major"
Biology for Health Sciences,Honours Bachelor of Science,Major
Biomedical Physics,Honours Bachelor of Science,Specialist
Biomedical Toxicology,Honours Bachelor of Science,"Specialist, Major"
Biotechnology,Honours Bachelor of Science,Specialist
Book and Media Studies,Honours Bachelor of Arts,"Minor, Major"
Buddhist Studies,Honours Bachelor of Arts,"Specialist, Major"
Canadian Studies,Honours Bachelor of Arts,"Minor, Major"
Canadian Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Caribbean Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Cell and Molecular Biology,Honours Bachelor of Science,"Specialist, Major"
Celtic Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Chemical Engineering,Bachelor of Applied Science in Engineering Science | Bachelor of Applied Science,"Program, Minor"
Chemical Physics,Honours Bachelor of Science,Specialist
Chemistry,Honours Bachelor of Science,"Specialist, Major"
Chemistry,Honours Bachelor of Science,"Specialist, Minor, Major"
Chemistry,Honours Bachelor of Science,"Specialist, Minor, Major"
Christianity and Culture,Honours Bachelor of Arts,"Specialist, Minor, Major"
Cinema Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
City Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Civil Engineering,Bachelor of Applied Science,Program
Classical Civilization,Honours Bachelor of Arts,"Minor, Major"
Classical Civilization,Honours Bachelor of Arts,"Minor, Major"
Classics (Greek and Latin),Honours Bachelor of Arts,Major
Cognitive Science (Arts),Honours Bachelor of Arts,Major
Cognitive Science (Science),Honours Bachelor of Science,Major
